"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16676","should clear text input field when an item is added","firefox","Tue Jun 10 15:03:40 EDT 2025","passed","Tue Jun 10 15:03:57 EDT 2025","New Todo","demo-todo-app.spec.js","",""
"","4867","complete all checkbox should update state when items are completed / cleared","webkit","Tue Jun 10 15:05:16 EDT 2025","passed","Tue Jun 10 15:05:21 EDT 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","904","should hide other controls when editing","chromium","Tue Jun 10 15:03:29 EDT 2025","passed","Tue Jun 10 15:03:30 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","1538","should allow me to display all items","firefox","Tue Jun 10 15:04:42 EDT 2025","passed","Tue Jun 10 15:04:43 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","3526","has title","chromium","Tue Jun 10 14:57:08 EDT 2025","passed","Tue Jun 10 14:57:12 EDT 2025","","example.spec.js","",""
"","3696","should display the correct text","webkit","Tue Jun 10 15:05:33 EDT 2025","passed","Tue Jun 10 15:05:37 EDT 2025","Clear completed button","demo-todo-app.spec.js","",""
"","1058","should allow me to display all items","chromium","Tue Jun 10 15:03:36 EDT 2025","passed","Tue Jun 10 15:03:37 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","15215","should allow me to add todo items","firefox","Tue Jun 10 15:03:40 EDT 2025","passed","Tue Jun 10 15:03:55 EDT 2025","New Todo","demo-todo-app.spec.js","",""
"","1611","should respect the back button","firefox","Tue Jun 10 15:04:39 EDT 2025","passed","Tue Jun 10 15:04:40 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","972","should trim entered text","chromium","Tue Jun 10 15:03:30 EDT 2025","passed","Tue Jun 10 15:03:31 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","3353","should save edits on blur","firefox","Tue Jun 10 15:04:26 EDT 2025","passed","Tue Jun 10 15:04:30 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","851","should remove the item if an empty text string was entered","chromium","Tue Jun 10 15:03:31 EDT 2025","passed","Tue Jun 10 15:03:32 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","6053","should allow me to un-mark items as complete","chromium","Tue Jun 10 15:03:23 EDT 2025","passed","Tue Jun 10 15:03:29 EDT 2025","Item","demo-todo-app.spec.js","",""
"","4957","should respect the back button","webkit","Tue Jun 10 15:05:40 EDT 2025","passed","Tue Jun 10 15:05:45 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","988","should save edits on blur","chromium","Tue Jun 10 15:03:30 EDT 2025","passed","Tue Jun 10 15:03:31 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","3136","should trim entered text","webkit","Tue Jun 10 15:05:27 EDT 2025","passed","Tue Jun 10 15:05:30 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","10508","should append new items to the bottom of the list","firefox","Tue Jun 10 15:03:59 EDT 2025","passed","Tue Jun 10 15:04:09 EDT 2025","New Todo","demo-todo-app.spec.js","",""
"","3602","should allow me to display active items","webkit","Tue Jun 10 15:05:40 EDT 2025","passed","Tue Jun 10 15:05:44 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","2132","should hide other controls when editing","firefox","Tue Jun 10 15:04:24 EDT 2025","passed","Tue Jun 10 15:04:27 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","2539","should remove completed items when clicked","firefox","Tue Jun 10 15:04:34 EDT 2025","passed","Tue Jun 10 15:04:37 EDT 2025","Clear completed button","demo-todo-app.spec.js","",""
"","8283","should highlight the currently applied filter","firefox","Tue Jun 10 15:04:43 EDT 2025","passed","Tue Jun 10 15:04:52 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","2182","should allow me to mark items as complete","firefox","Tue Jun 10 15:04:17 EDT 2025","passed","Tue Jun 10 15:04:19 EDT 2025","Item","demo-todo-app.spec.js","",""
"","2695","should highlight the currently applied filter","webkit","Tue Jun 10 15:05:47 EDT 2025","passed","Tue Jun 10 15:05:50 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","3309","should allow me to display completed items","webkit","Tue Jun 10 15:05:44 EDT 2025","passed","Tue Jun 10 15:05:47 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","732","should display the current number of todo items","chromium","Tue Jun 10 15:03:32 EDT 2025","passed","Tue Jun 10 15:03:32 EDT 2025","Counter","demo-todo-app.spec.js","",""
"","19536","Homepage should display the correct header","firefox","Thu Jun 12 12:04:07 EDT 2025","passed","Thu Jun 12 12:04:26 EDT 2025","","HomeTest.spec.js","",""
"","780","should display the correct text","chromium","Tue Jun 10 15:03:32 EDT 2025","passed","Tue Jun 10 15:03:33 EDT 2025","Clear completed button","demo-todo-app.spec.js","",""
"","8196","should allow me to clear the complete state of all items","firefox","Tue Jun 10 15:04:09 EDT 2025","passed","Tue Jun 10 15:04:17 EDT 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","3173","should remove the item if an empty text string was entered","firefox","Tue Jun 10 15:04:30 EDT 2025","passed","Tue Jun 10 15:04:33 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","889","should highlight the currently applied filter","chromium","Tue Jun 10 15:03:36 EDT 2025","passed","Tue Jun 10 15:03:37 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","4020","should allow me to add todo items","chromium","Tue Jun 10 15:03:15 EDT 2025","passed","Tue Jun 10 15:03:19 EDT 2025","New Todo","demo-todo-app.spec.js","",""
"","1589","should allow me to display completed items","firefox","Tue Jun 10 15:04:40 EDT 2025","passed","Tue Jun 10 15:04:42 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","3004","should remove the item if an empty text string was entered","webkit","Tue Jun 10 15:05:28 EDT 2025","passed","Tue Jun 10 15:05:31 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","876","should cancel edits on escape","chromium","Tue Jun 10 15:03:31 EDT 2025","passed","Tue Jun 10 15:03:32 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","1753","should display the current number of todo items","webkit","Tue Jun 10 15:05:31 EDT 2025","passed","Tue Jun 10 15:05:33 EDT 2025","Counter","demo-todo-app.spec.js","",""
"","935","should allow me to display completed items","chromium","Tue Jun 10 15:03:35 EDT 2025","passed","Tue Jun 10 15:03:36 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","3541","should be hidden when there are no items that are completed","webkit","Tue Jun 10 15:05:37 EDT 2025","passed","Tue Jun 10 15:05:40 EDT 2025","Clear completed button","demo-todo-app.spec.js","",""
"","1025","should allow me to display active items","chromium","Tue Jun 10 15:03:34 EDT 2025","passed","Tue Jun 10 15:03:35 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","1763","should allow me to clear the complete state of all items","chromium","Tue Jun 10 15:03:21 EDT 2025","passed","Tue Jun 10 15:03:23 EDT 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","2210","should allow me to add todo items","webkit","Tue Jun 10 15:05:11 EDT 2025","passed","Tue Jun 10 15:05:13 EDT 2025","New Todo","demo-todo-app.spec.js","",""
"","2599","should cancel edits on escape","firefox","Tue Jun 10 15:04:30 EDT 2025","passed","Tue Jun 10 15:04:33 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","1521","should clear text input field when an item is added","webkit","Tue Jun 10 15:05:11 EDT 2025","passed","Tue Jun 10 15:05:13 EDT 2025","New Todo","demo-todo-app.spec.js","",""
"","28908","should persist its data","firefox","Tue Jun 10 15:04:37 EDT 2025","passed","Tue Jun 10 15:05:06 EDT 2025","Persistence","demo-todo-app.spec.js","",""
"","6456","should allow me to mark items as complete","chromium","Tue Jun 10 15:03:23 EDT 2025","passed","Tue Jun 10 15:03:29 EDT 2025","Item","demo-todo-app.spec.js","",""
"","2642","should hide other controls when editing","webkit","Tue Jun 10 15:05:25 EDT 2025","passed","Tue Jun 10 15:05:27 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","985","should persist its data","chromium","Tue Jun 10 15:03:33 EDT 2025","passed","Tue Jun 10 15:03:34 EDT 2025","Persistence","demo-todo-app.spec.js","",""
"","2717","has title","webkit","Tue Jun 10 14:45:00 EDT 2025","passed","Tue Jun 10 14:45:02 EDT 2025","","example.spec.js","",""
"","2804","should save edits on blur","webkit","Tue Jun 10 15:05:26 EDT 2025","passed","Tue Jun 10 15:05:28 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","1069","should respect the back button","chromium","Tue Jun 10 15:03:34 EDT 2025","passed","Tue Jun 10 15:03:36 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","1287","should append new items to the bottom of the list","chromium","Tue Jun 10 15:03:20 EDT 2025","passed","Tue Jun 10 15:03:21 EDT 2025","New Todo","demo-todo-app.spec.js","",""
"","1976","complete all checkbox should update state when items are completed / cleared","chromium","Tue Jun 10 15:03:21 EDT 2025","passed","Tue Jun 10 15:03:23 EDT 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","3273","should allow me to mark items as complete","webkit","Tue Jun 10 15:05:19 EDT 2025","passed","Tue Jun 10 15:05:22 EDT 2025","Item","demo-todo-app.spec.js","",""
"","2734","should allow me to un-mark items as complete","firefox","Tue Jun 10 15:04:19 EDT 2025","passed","Tue Jun 10 15:04:22 EDT 2025","Item","demo-todo-app.spec.js","",""
"","2159","should be hidden when there are no items that are completed","firefox","Tue Jun 10 15:04:35 EDT 2025","passed","Tue Jun 10 15:04:37 EDT 2025","Clear completed button","demo-todo-app.spec.js","",""
"","2940","should cancel edits on escape","webkit","Tue Jun 10 15:05:30 EDT 2025","passed","Tue Jun 10 15:05:33 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","5173","should allow me to display all items","webkit","Tue Jun 10 15:05:45 EDT 2025","passed","Tue Jun 10 15:05:51 EDT 2025","Routing","demo-todo-app.spec.js","",""
"","1479","Homepage should display the correct header","webkit","Thu Jun 12 12:05:01 EDT 2025","passed","Thu Jun 12 12:05:02 EDT 2025","","HomeTest.spec.js","",""
"","891","should remove completed items when clicked","chromium","Tue Jun 10 15:03:33 EDT 2025","passed","Tue Jun 10 15:03:33 EDT 2025","Clear completed button","demo-todo-app.spec.js","",""
"","3102","should allow me to edit an item","webkit","Tue Jun 10 15:05:22 EDT 2025","passed","Tue Jun 10 15:05:26 EDT 2025","Item","demo-todo-app.spec.js","",""
"","4752","Homepage should display the correct header","chromium","Thu Jun 12 12:03:43 EDT 2025","passed","Thu Jun 12 12:03:47 EDT 2025","","HomeTest.spec.js","",""
"","2786","should persist its data","webkit","Tue Jun 10 15:05:37 EDT 2025","passed","Tue Jun 10 15:05:40 EDT 2025","Persistence","demo-todo-app.spec.js","",""
"","3442","get started link","chromium","Tue Jun 10 14:57:09 EDT 2025","passed","Tue Jun 10 14:57:12 EDT 2025","","example.spec.js","",""
"","1501","should display the correct text","firefox","Tue Jun 10 15:04:33 EDT 2025","passed","Tue Jun 10 15:04:34 EDT 2025","Clear completed button","demo-todo-app.spec.js","",""
"","10511","should allow me to mark all items as completed","firefox","Tue Jun 10 15:04:05 EDT 2025","passed","Tue Jun 10 15:04:15 EDT 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","3448","should allow me to un-mark items as complete","webkit","Tue Jun 10 15:05:21 EDT 2025","passed","Tue Jun 10 15:05:25 EDT 2025","Item","demo-todo-app.spec.js","",""
"","11305","complete all checkbox should update state when items are completed / cleared","firefox","Tue Jun 10 15:04:15 EDT 2025","passed","Tue Jun 10 15:04:26 EDT 2025","Mark all as completed","demo-todo-app.spec.js","",""
"","3030","should clear text input field when an item is added","chromium","Tue Jun 10 15:03:16 EDT 2025","passed","Tue Jun 10 15:03:19 EDT 2025","New Todo","demo-todo-app.spec.js","",""
"","2773","should trim entered text","firefox","Tue Jun 10 15:04:27 EDT 2025","passed","Tue Jun 10 15:04:30 EDT 2025","Editing","demo-todo-app.spec.js","",""
"","25816","has title","firefox","Tue Jun 10 14:57:16 EDT 2025","passed","Tue Jun 10 14:57:42 EDT 2025","","example.spec.js","",""
"","1369","should display the current number of todo items","firefox","Tue Jun 10 15:04:33 EDT 2025","passed","Tue Jun 10 15:04:34 EDT 2025","Counter","demo-todo-app.spec.js","",""
